Seed,Model,Feature_Set,Features,N_Total,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
42,KNN,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.7716446199920173,0.16338242252875498,0.9446158895505876,45.45105088384775,26.775069953991878
42,KNN,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.7527232142075231,0.16899088072491006,0.9409239301500678,46.94151850296411,27.45763335993567
42,KNN,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7783436144451923,0.1524148337530646,0.9371498720084988,48.41772952029303,24.678954877298036
42,BayesianRidge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7951453454954155,0.14418944008810844,0.9259778716739251,52.54508764266693,33.55572329883314
42,ElasticNet,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7950687930628998,0.1437727261559488,0.9259239047835897,52.5642385262198,33.56364668360073
42,Ridge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7952856817875583,0.1436189194654473,0.925886048194769,52.57766828779627,33.572341930582255
42,LinearRegression,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7935031323797442,0.14487736146995497,0.9254566789895461,52.72974916342629,33.647588598207086
42,BayesianRidge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.8140407084815626,0.12362000370927012,0.9228203378872274,53.654082561926955,34.18618689493432
42,ElasticNet,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.8138225418158482,0.12351589709000543,0.9227557235125964,53.676537309708195,34.19418093256234
42,Ridge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.8139568617402906,0.12346012641078932,0.9226668682398294,53.707400907492186,34.208699622617075
42,LinearRegression,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.8128685534841443,0.1238895505708513,0.921803790414481,54.00627054918183,34.36250812882704
42,BayesianRidge,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.782229322040483,0.16119003743265392,0.9094460714719127,58.11724046308631,35.78774874083553
42,ElasticNet,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.7821403493142857,0.16080209091519537,0.9089000609281295,58.292191102546646,35.85743627699892
42,Ridge,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.7825525819083425,0.16042649699254502,0.9086853862393889,58.36083272094255,35.88589929349232
42,LinearRegression,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.7789202951696954,0.16382734356175985,0.906618162566275,59.01773585550122,36.14951577139494
42,ExtraTrees,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.7839771242065733,0.17805272510228007,0.8071348986918366,84.81607318274514,35.30711163636357
42,RandomForest,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.7763852034033325,0.14412472740551077,0.7898026870896382,88.54517827464815,37.94169090909093
42,HistGradientBoosting,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.6234050176597021,0.12077746953446589,0.7672167022025426,93.18097384112781,51.02912402984898
42,ExtraTrees,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7764780733238753,0.17985403242722883,0.7630103067630347,94.01909492790197,38.02770472727259
42,KNN,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.7261520244496875,0.1317230849841786,0.7573709722606853,95.1311431934262,48.08809012208453
42,HistGradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.630817487111392,0.11724169564900963,0.7427449249273756,97.95651195775412,50.223748277976924
42,BayesianRidge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.709354946352972,0.20362989348898702,0.7426054576862755,97.9830612364034,62.761606894857735
42,ElasticNet,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.7098302294243478,0.20285678453601275,0.7414386933251007,98.2048877745553,62.89838086189455
42,Ridge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.7100980223384071,0.20230805612088484,0.7409889229740152,98.29026492496389,62.951938837225406
42,ExtraTrees,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.7613544193955439,0.21076434197977925,0.7380864736463992,98.83944558626162,38.56431709090904
42,LinearRegression,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.707741775941145,0.2070114971755844,0.7363211555549141,99.1719790813623,63.48711385992721
42,RandomForest,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.7613782366370461,0.12485704241855138,0.7151374203113432,103.07872503659027,41.05361018181825
42,RandomForest,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7576666030014808,0.12501554827513991,0.696700111156094,106.36223688390037,41.83246654545458
42,HistGradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.5530258519871892,0.12456893842704543,0.6940984928762504,106.81743500364605,51.31987255745978
42,ExtraTrees,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.7322512121507577,0.15300057468354258,0.6678076761697744,111.31306292786572,42.3662381818182
42,GradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.6027110218410592,0.3590379510853531,0.6648986074805652,111.79939490824337,45.10414944568731
42,RandomForest,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.6749050306549622,0.1808612904922923,0.6583728722114871,112.88273196484352,43.866350909090855
42,BayesianRidge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.6083083206073037,0.2897425689134,0.6376745657576863,116.25208410601583,56.61110204911069
42,ElasticNet,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.608698086952438,0.2897496870644755,0.6375302359053414,116.27523591094908,56.651700770825045
42,Ridge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.6089767782048501,0.2892937867799662,0.637497305356703,116.2805176209399,56.66191184183322
42,LinearRegression,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.6065187713532599,0.29322755715027254,0.6372587436998447,116.31877321316806,56.72094441666994
42,HistGradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.5620626325904582,0.0537474582799791,0.6259806141505914,118.11318837820889,67.16199698733631
42,ExtraTrees,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.7140801788264403,0.2399100203995013,0.6086006104177815,120.82628114615083,53.726572363636414
42,KNN,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.6381947033630884,0.19331362445337935,0.5781431300640918,125.43938027380587,51.96030857004261
42,GradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.6043964072474369,0.29739975308285055,0.5702147262652515,126.61265099406863,47.00055852362199
42,GradientBoosting,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.5399870852498447,0.28459207374201445,0.47720323087477745,139.64255431250393,53.31368357031208
42,RandomForest,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.6396268730549243,0.20409091528803042,0.3766853245413927,152.4772367143228,65.40706545454555
42,HistGradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.4994064289392194,0.08929169653242759,0.31961044867174393,159.30527423280927,79.77360787376378
42,SVR_RBF,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.126309695721563,0.07692205466022267,0.31201734419521865,160.1917263134441,65.31811679317985
42,SVR_RBF,All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.09798976448529972,0.07052806166411985,0.25781798808457157,166.38207985093302,69.06176463065785
42,SVR_RBF,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.08912434015564734,0.05586407058495869,0.24439553809686254,167.87985817473705,70.9652859022831
42,SVR_RBF,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.09296296344288857,0.06812280668013007,0.22999027061013733,169.47258078788673,69.82230444562728
42,SVR_RBF,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.05735510797208632,0.04826387450457334,0.20933436181736975,171.73063242101088,73.06402828965018
42,GradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.4935929023532143,0.26330556686518597,0.0684844144786304,186.40021097154718,69.11962046942605
42,GradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.5021972776485897,0.3744906332612781,0.060327042452981594,187.21459428223696,72.53719799020237
