Stratify_Col,Model,Outlier_Mode,Seeds,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_MAE_Median,Test_R2_P2_5,Test_R2_P97_5
Al,ExtraTrees,winsorize_1_99,30,0.883914731639701,0.814490051079932,0.21572688569040127,85.92487799727223,35.52723690909089,0.42271583672284635,0.9410631444892922
Al,KNN,winsorize_1_99,30,0.8614550548163523,0.8146141610382941,0.1399123787642443,91.49491858485479,36.514662970673456,0.4596261927905794,0.9527701946543574
Al,MLP,none,30,0.76849458093113,0.7189083639985819,0.18571226589467388,118.91956170747892,53.2570089603415,0.3300509168395524,0.9484915909632277
Al,RandomForest,winsorize_1_99,30,0.8501359150020429,0.768730477436778,0.30001156048223443,102.31624626139501,37.253645272727226,0.23903788802931059,0.9215607163827173
Al,Ridge,winsorize_1_99,30,0.889465685889393,0.8299651988286366,0.1673807706348245,81.27533065935071,42.39504181541002,0.454896733646448,0.9500590642228677
Mn,ExtraTrees,winsorize_1_99,30,0.8516181309490205,0.7533790459365937,0.2793022774457045,96.37692009014745,38.856155454545444,0.08596928786701104,0.9709052728591575
Mn,KNN,winsorize_1_99,30,0.7922733051435917,0.7755660498748644,0.13809653840338912,112.12881257964573,43.20919640507866,0.5145775705674827,0.9707906963095732
Mn,MLP,winsorize_1_99,30,0.7619577888229314,0.709940342247684,0.22335221472350764,114.86289440630274,50.849835517320734,0.15302563867581565,0.9461793350208719
Mn,RandomForest,winsorize_1_99,30,0.8224778780821785,0.7158553642710509,0.34396892238498744,112.96303907631638,39.87932781818177,-0.14345276166598672,0.9734426006349902
Mn,Ridge,none,30,0.8207662038564418,0.7892816729270856,0.15748015189765735,105.06669089423559,45.04897335530508,0.4455535593967417,0.9469582781952454
pH,ExtraTrees,winsorize_1_99,30,0.8363931087915841,0.7601570907942102,0.24428315270939888,86.69229089997069,35.486793090909,0.14345169358775173,0.9485023574971355
pH,KNN,none,30,0.8054891547992357,0.7591582966120508,0.15625884795948397,112.83343240652064,41.83898040434891,0.43854142788583184,0.9229514607730215
pH,MLP,winsorize_1_99,30,0.6973858298446332,0.6379205709928455,0.21856714174751082,146.33285115138654,57.99598523561417,0.12837101944628512,0.9011397985029646
pH,RandomForest,winsorize_1_99,30,0.8357110321187753,0.7319244318944421,0.3528024502898921,91.02270556569466,36.946328727272686,-0.17504175110535627,0.9307615411220704
pH,Ridge,winsorize_1_99,30,0.7961140699529836,0.7630454221232928,0.1720787720623151,92.17127853299374,49.00425278024211,0.38571352687739485,0.9417771038002951
